address,district,floorArea,landmark,name,price
天府大道与中建大道交汇处向西200米,天府新区南区,105,仁寿,万景九洲天府,13000
梓州大道与新通大道的交汇处,高新,unknown,中德,融创香璟台二期,45000
电子路中段144号,新都,unknown,新都城区,桂湖名城二期,9500
都江堰青城大桥旁,都江堰,48,都江堰,外滩新天地,10000
人民南路四段45号,武侯,unknown,航空路,新希望大厦,16500
银河路三段（双流体育中心旁）,双流,148,双流城区,蓝润城,11500
沙河铺街208号,锦江,278,蓝谷地,滨江樾府,19500
武侯大道铁佛段289号,武侯,94,簇桥,世纪百合锦寓,10000
柳城街办燎原社区八组新华社区一组区,温江,46,温江新城,悦天地商厦,10000
郫都区红光镇国宁西路1555号（红光大道西华大学旁）,郫都,152,红光,领地金科蘭台府,16250
涧槽中街188号,双流,104,双流城区,香楠国际,13500
福梓路33号,郫都,104,犀浦,华邑宸熙,16000
清水镇天府大道60号,天府新区南区,98,仁寿,朗基香颂天府二期,12500
仁寿大道与天府大道交汇处,天府新区南区,110,仁寿,金辉优步花园,9700
"地铁2号线牛王庙站B出口旁（国土局锦江分局斜对面）, 锦东路新希望D10天府",锦江,108,九眼桥,新希望D10天府,18519
凤祥大道1699号凤凰盛景,青白江,106,青白江,凤凰盛景,7500
车城西四路和经开区南一路交汇处,龙泉驿,63,大面,德商蜜柚,9000
清涟路27号,青羊,unknown,外金沙,蓝光COCO金沙一期,25000
清涟路27号,青羊,unknown,外金沙,蓝光COCO金沙一期,25000
成华邛崃山路与迎晖路交汇处,成华,unknown,东客站,泊里中心,17500
龙港路369号,成华,120,龙潭寺,珑悦锦云花园,15600
大丰街道先驱大道与大天路交汇处 ,新都,138,大丰,朗基香樾府,11650
车城西四路德商蜜柚,龙泉驿,unknown,大面,德商蜜柚,29000
石盘镇花红大道中段56号,简阳,101,石桥片区,龙湖物业滨湖城,8500
建设北路三段378号,成华,38,SM广场,时光荟,13000
成都市车城西四路177号,龙泉驿,142,大面,新希望锦麟府,20200
百仁生态区内（三环路西四段）,青羊,unknown,外金沙,太行朗诗金沙城,20000
金盆地大道229号,崇州,74,崇州,中鑫海广场,10000
水巷子与簇桥中街交叉口南50米,武侯,110,簇桥,锦悦华庭,15800
建工路龙湖梵城,成华,unknown,万年场,龙湖梵城,65000
龙祥商业街88号,龙泉驿,unknown,十陵,天赋龙庭,7300
新华大道文武路飞大美誉大厦,青羊,41,草市街,飞大美誉大厦,25000
